id,acronym,name,color_hex_triplet,parent_structure_id,ABA_level,CASTLE_level,CASTLE_parent
91,IP,Interposed nucleus,#FFFDBC,519,4,3,519
846,DN,Dentate nucleus,#FFFDBC,519,4,3,519
989,FN,Fastigial nucleus,#FFFDBC,519,4,3,519
589508455,VeCB,Vestibulocerebellar nucleus,#FFFDBC,519,4,3,519
230,RPA,Nucleus raphe pallidus,#FFFC91,379,6,3,528
912,LING,Lingula (I),#FFFC91,645,5,3,528
936,DEC,Declive (VI),#FFFC91,645,5,3,528
944,FOTU,Folium-tuber vermis (VII),#FFFC91,645,5,3,528
951,PYR,Pyramus (VIII),#FFFC91,645,5,3,528
957,UVU,Uvula (IX),#FFFC91,645,5,3,528
968,NOD,Nodulus (X),#FFFC91,645,5,3,528
976,CENT2,Lobule II,#FFFC91,920,6,3,528
984,CENT3,Lobule III,#FFFC91,920,6,3,528
1007,SIM,Simple lobule,#FFFC91,1073,5,3,528
1025,PRM,Paramedian lobule,#FFFC91,1073,5,3,528
1033,COPY,Copula pyramidis,#FFFC91,1073,5,3,528
1041,PFL,Paraflocculus,#FFFC91,1073,5,3,528
1049,FL,Flocculus,#FFFC91,1073,5,3,528
1056,ANcr1,Crus 1,#FFFC91,1017,6,3,528
1064,ANcr2,Crus 2,#FFFC91,1017,6,3,528
1091,"CUL4, 5",Lobules IV-V,#FFFC91,928,6,3,528
271,SAG,Nucleus sagulum,#FF7AFF,339,5,3,339
460,MEV,Midbrain trigeminal nucleus,#FF7AFF,339,5,3,339
580,NB,Nucleus of the brachium of the inferior colliculus,#FF7AFF,339,5,3,339
811,ICc,"Inferior colliculus, central nucleus",#FF7AFF,4,6,3,339
820,ICd,"Inferior colliculus, dorsal nucleus",#FF7AFF,4,6,3,339
828,ICe,"Inferior colliculus, external nucleus",#FF7AFF,4,6,3,339
834,SCzo,"Superior colliculus, zonal layer",#FF7AFF,302,6,3,339
842,SCsg,"Superior colliculus, superficial gray layer",#FF7AFF,302,6,3,339
851,SCop,"Superior colliculus, optic layer",#FF7AFF,302,6,3,339
874,PBG,Parabigeminal nucleus,#FF7AFF,339,5,3,339
599626923,SCO,Subcommissural organ,#FF7AFF,339,5,3,339
12,IF,Interfascicular nucleus raphe,#FFA6FF,165,6,3,348
100,IPN,Interpeduncular nucleus,#FFA6FF,165,6,3,348
197,RL,Rostral linear nucleus raphe,#FFA6FF,165,6,3,348
374,SNc,"Substantia nigra, compact part",#FFA6FF,348,5,3,348
591,CLI,Central linear nucleus raphe,#FFA6FF,165,6,3,348
872,DR,Dorsal nucleus raphe,#FFA6FF,165,6,3,348
1052,PPN,Pedunculopontine nucleus,#FFA6FF,348,5,3,348
607344834,IPR,"Interpeduncular nucleus, rostral",#FFA6FF,100,7,3,348
607344838,IPC,"Interpeduncular nucleus, caudal",#FFA6FF,100,7,3,348
607344842,IPA,"Interpeduncular nucleus, apical",#FFA6FF,100,7,3,348
607344846,IPL,"Interpeduncular nucleus, lateral",#FFA6FF,100,7,3,348
607344850,IPI,"Interpeduncular nucleus, intermediate",#FFA6FF,100,7,3,348
607344854,IPDM,"Interpeduncular nucleus, dorsomedial",#FFA6FF,100,7,3,348
607344858,IPDL,"Interpeduncular nucleus, dorsolateral",#FFA6FF,100,7,3,348
607344862,IPRL,"Interpeduncular nucleus, rostrolateral",#FFA6FF,100,7,3,348
10,SCig,"Superior colliculus, motor related, intermediate gray layer",#FF90FF,294,6,3,323
17,SCiw,"Superior colliculus, motor related, intermediate white layer",#FF90FF,294,6,3,323
26,SCdg,"Superior colliculus, motor related, deep gray layer",#FF90FF,294,6,3,323
35,III,Oculomotor nucleus,#FF90FF,323,5,3,323
42,SCdw,"Superior colliculus, motor related, deep white layer",#FF90FF,294,6,3,323
50,PRC,Precommissural nucleus,#FF90FF,795,6,3,323
58,MT,Medial terminal nucleus of the accessory optic tract,#FF90FF,323,5,3,323
66,LT,Lateral terminal nucleus of the accessory optic tract,#FF90FF,323,5,3,323
67,INC,Interstitial nucleus of Cajal,#FF90FF,795,6,3,323
75,DT,Dorsal terminal nucleus of the accessory optic tract,#FF90FF,323,5,3,323
115,IV,Trochlear nucleus,#FF90FF,323,5,3,323
128,MRN,Midbrain reticular nucleus,#FF90FF,323,5,3,323
214,RN,Red nucleus,#FF90FF,323,5,3,323
215,APN,Anterior pretectal nucleus,#FF90FF,1100,6,3,323
231,AT,Anterior tegmental nucleus,#FF90FF,323,5,3,323
246,RR,"Midbrain reticular nucleus, retrorubral area",#FF90FF,323,5,3,323
381,SNr,"Substantia nigra, reticular part",#FF90FF,323,5,3,323
